DeductionID,TaxpayerID,FilingYear,DeductionType,DeductionAmount
1,60,2023,80C,82757.49
2,53,2022,80D,159345.12
3,25,2021,80D,54987.52
4,32,2021,80C,194570.0
5,85,2022,80G,125272.18
6,18,2021,80G,146716.66
7,51,2023,80D,135434.07
8,59,2023,80G,29091.47
9,14,2023,Others,23811.44
10,14,2023,Others,114069.84
11,59,2023,80C,29555.98
12,4,2022,80D,49962.0
13,90,2022,80D,127340.62
14,70,2022,80C,15010.45
15,62,2022,80G,100283.35
16,96,2023,80G,72914.09
17,44,2022,80D,80670.26
18,28,2022,Others,119886.99
19,43,2023,80D,187416.01
20,50,2021,80D,189241.07
21,15,2021,80C,172282.48
22,20,2022,80D,53880.6
23,28,2023,Others,89406.23
24,12,2023,80D,13682.14
25,11,2023,80D,80011.81
26,26,2023,80D,37647.42
27,29,2023,Others,104595.58
28,72,2022,80C,170108.98
29,90,2023,80D,23097.22
30,55,2021,80C,36233.23
31,72,2021,80G,86873.67
32,81,2022,80D,63679.43
33,35,2022,80D,154536.23
34,49,2021,80D,95743.99
35,76,2021,Others,186125.49
36,5,2023,80C,135514.26
37,49,2021,80D,148442.86
38,29,2022,80D,135256.94
39,79,2023,80C,29058.11
40,11,2021,80G,96564.05
41,6,2021,80G,106873.72
42,72,2022,80G,130929.78
43,59,2023,Others,94234.77
44,24,2022,80C,26695.41
45,19,2021,80D,181058.93
46,42,2022,80D,108284.82
47,96,2022,Others,75567.43
48,27,2022,Others,100470.26
49,74,2023,80G,135472.06
50,41,2021,80C,167484.41
51,15,2021,80G,154926.81
52,76,2021,80C,60264.52
53,38,2022,80G,10048.48
54,84,2021,80C,158881.42
55,14,2023,80G,38921.27
56,4,2023,80C,21626.25
57,5,2022,80G,13468.94
58,86,2022,80D,147126.88
59,79,2021,80C,58627.6
60,12,2023,80D,176323.54
61,54,2022,80C,165475.05
62,23,2023,80C,54056.17
63,28,2021,80D,134161.0
64,3,2022,80G,71700.93
65,18,2023,Others,39779.11
66,74,2022,80G,147810.83
67,40,2022,Others,185812.8
68,59,2021,80D,115569.68
69,69,2023,80C,192402.12
70,98,2021,80D,117103.56
71,70,2022,80D,197166.81
72,86,2021,Others,124222.21
73,38,2023,80D,93129.66
74,52,2023,Others,81209.46
75,40,2021,80D,53079.84
76,69,2021,80D,54072.89
77,58,2023,Others,190973.25
78,10,2021,80G,31385.98
79,96,2023,80C,160356.27
80,42,2023,Others,153647.16
81,77,2023,80C,66629.95
82,74,2023,80C,65956.1
83,23,2023,80C,126336.55
84,61,2023,Others,149739.4
85,67,2022,80C,37786.92
86,26,2023,80D,164110.94
87,57,2022,80D,193362.65
88,24,2021,80D,37287.38
89,42,2023,80G,12203.63
90,95,2022,Others,196357.16
91,15,2022,80C,66600.37
92,76,2021,80G,50742.3
93,12,2023,80D,81398.67
94,45,2023,80C,104536.62
95,17,2021,Others,83500.57
96,15,2023,80G,121640.73
97,1,2021,80G,100830.87
98,71,2023,80C,24427.77
99,42,2022,80G,12266.41
100,2,2021,80C,140440.87
