FilingID,TaxpayerID,FilingYear,TaxableIncome,TaxOwed,TaxPaid
1,84,2022,598229.0,210436.63,270562.96
2,97,2023,418049.97,26952.99,206684.91
3,56,2023,486033.31,202728.31,276449.81
4,40,2022,909500.24,224974.1,98531.65
5,53,2023,984920.25,260116.26,265846.2
6,19,2023,1131548.39,180976.69,57319.56
7,94,2021,1027158.18,191272.28,270631.65
8,74,2022,605699.95,99407.47,187138.35
9,56,2022,1415836.16,87385.34,156838.38
10,31,2022,333474.56,60564.14,106207.73
11,62,2022,1116274.45,52767.2,297949.29
12,3,2023,925383.52,80400.92,18856.41
13,7,2022,669138.88,22660.67,60208.79
14,88,2023,1280846.23,264333.25,287372.45
15,46,2021,1095641.31,104732.14,140686.97
16,50,2022,1298905.31,231802.1,203697.58
17,41,2022,941682.92,147643.17,114202.2
18,60,2023,1226624.3,291750.9,225213.96
19,25,2023,1262220.61,104013.76,93001.05
20,43,2022,752524.77,141887.52,238984.08
21,29,2023,612093.53,276211.11,151497.08
22,78,2023,579465.33,12948.21,35190.39
23,92,2021,754582.5,299099.69,72289.71
24,23,2021,1072718.96,46334.1,231546.04
25,40,2021,591885.92,129961.13,63958.27
26,79,2022,1116112.29,199067.79,63393.84
27,48,2023,793492.69,253842.65,27346.06
28,100,2021,1137118.19,206993.07,150315.26
29,39,2021,836484.4,52182.72,41843.88
30,74,2022,573442.71,140197.02,16570.44
31,65,2023,659151.78,219349.42,28681.79
32,91,2021,810815.85,188644.71,177788.39
33,67,2021,1376489.73,221708.27,266971.98
34,77,2023,1165224.86,230191.13,126246.98
35,53,2021,1012131.97,188759.71,169383.91
36,61,2023,1173956.13,139580.05,180397.53
37,96,2022,311326.08,182881.92,189382.54
38,59,2022,784236.17,103413.36,109320.94
39,45,2021,375241.31,162573.84,278440.37
40,19,2023,681897.47,201580.92,247368.21
41,90,2022,551034.22,232707.62,225629.65
42,65,2023,309561.33,181461.74,121332.85
43,84,2023,632650.24,133664.33,27507.02
44,82,2022,1128690.75,171588.87,122802.2
45,12,2022,1377958.54,80922.62,46021.24
46,11,2021,1475658.63,139861.79,46002.78
47,34,2023,692907.66,127719.55,273982.03
48,40,2022,1417526.1,219505.15,202858.17
49,3,2021,1318826.14,186852.87,71966.05
50,18,2022,1147722.45,18280.77,77602.17
51,80,2022,721575.87,137337.63,190184.1
52,57,2022,657136.32,113139.26,216021.25
53,50,2021,1196486.89,205255.5,245904.49
54,12,2022,475331.44,105558.08,36210.55
55,15,2022,494468.59,189950.06,252964.9
56,6,2021,1131350.9,76768.91,74193.83
57,14,2021,391717.93,57310.32,72752.85
58,50,2021,825540.06,101580.62,197129.36
59,99,2022,305015.41,12271.15,85559.28
60,72,2022,1080589.37,196584.16,113193.56
61,13,2023,370204.58,118125.75,252522.54
62,76,2022,842781.33,68527.02,150533.14
63,77,2023,1457710.93,209939.75,159868.41
64,14,2022,1302402.91,60460.27,19057.58
65,20,2021,303408.05,175066.95,94295.42
66,54,2023,1468443.04,70192.87,119967.99
67,75,2023,311464.24,264744.34,298876.04
68,73,2022,388586.82,241085.19,194903.16
69,64,2023,507501.78,34067.72,235256.62
70,53,2021,609840.57,69641.37,284470.9
71,62,2022,1363487.71,165164.34,27548.41
72,98,2021,1162946.87,163952.57,96102.77
73,75,2021,606367.22,138153.15,102483.35
74,73,2022,1379628.82,65806.04,264778.12
75,65,2021,1025830.41,222919.81,217531.89
76,100,2021,890420.4,253325.4,103325.47
77,44,2022,316167.67,84120.42,225254.64
78,70,2021,1162455.2,56886.29,87683.56
79,52,2023,1439476.64,243350.43,233606.28
80,65,2023,951076.24,25137.2,114828.42
81,77,2022,1375533.4,40358.63,228799.22
82,17,2021,436339.19,40675.71,93775.8
83,59,2023,870893.53,65220.92,260043.37
84,90,2021,1029275.88,173609.76,145934.77
85,40,2021,825863.8,73262.4,238534.27
86,22,2023,1198649.11,254919.59,290435.59
87,80,2021,526565.52,228907.21,141028.85
88,87,2022,1222815.04,120597.15,134356.21
89,52,2021,904045.46,202633.99,272525.73
90,10,2023,1098017.35,14708.54,241727.77
91,30,2023,859176.09,283474.8,281167.04
92,63,2022,1374227.96,152844.78,225213.43
93,19,2021,775895.39,261048.19,131280.6
94,53,2023,1329044.09,217394.15,101809.99
95,69,2022,697029.41,67816.67,127259.8
96,13,2023,1248274.96,52977.21,162028.18
97,81,2023,1411601.95,296449.81,245522.82
98,62,2021,1134162.15,60732.26,170938.8
99,41,2022,1230736.14,130504.69,289496.88
100,76,2022,340428.81,151586.2,109474.99
