IncomeID,TaxpayerID,FilingYear,IncomeAmount,IncomeSource
1,37,2023,637529.63,Investments
2,84,2022,977119.0,Salary
3,19,2022,1090465.37,Other
4,87,2022,1287907.29,Investments
5,51,2021,525010.22,Investments
6,90,2022,521346.41,Other
7,89,2022,424145.42,Other
8,66,2023,517758.74,Salary
9,40,2022,1198019.59,Salary
10,100,2023,319747.49,Investments
11,18,2021,808247.72,Salary
12,14,2021,568954.92,Investments
13,46,2023,645113.4,Salary
14,100,2022,1187236.4,Other
15,100,2023,784624.39,Investments
16,31,2021,729619.19,Salary
17,100,2023,468388.22,Investments
18,64,2023,1241759.46,Investments
19,45,2022,1387248.05,Business
20,24,2023,339076.1,Other
21,99,2022,726287.4,Business
22,45,2021,886906.82,Other
23,1,2022,1356078.57,Business
24,61,2022,664780.82,Business
25,97,2022,631335.59,Other
26,68,2022,583070.87,Investments
27,94,2022,1380700.86,Other
28,31,2021,510913.78,Salary
29,36,2022,912363.07,Salary
30,49,2022,1169508.69,Investments
31,24,2021,899384.4,Salary
32,49,2021,406618.7,Business
33,4,2022,707349.43,Other
34,57,2023,1005331.58,Business
35,77,2021,1496466.97,Salary
36,14,2023,372537.12,Investments
37,53,2022,1175342.28,Business
38,72,2022,1422289.44,Other
39,97,2021,795581.54,Investments
40,20,2023,1263746.12,Other
41,17,2021,875378.98,Other
42,23,2022,1120109.1,Investments
43,26,2021,1491829.89,Business
44,48,2023,455000.97,Business
45,20,2022,1081575.95,Other
46,74,2022,910414.32,Salary
47,1,2022,1276676.71,Business
48,26,2023,424647.26,Business
49,9,2021,554739.7,Business
50,53,2022,371928.79,Other
51,86,2021,1312194.93,Salary
52,71,2022,412962.59,Salary
53,35,2022,541340.07,Other
54,34,2023,1088755.38,Other
55,92,2022,1390441.72,Salary
56,58,2023,941291.02,Other
57,91,2023,1200651.05,Investments
58,98,2021,1462099.24,Salary
59,70,2023,831860.39,Investments
60,90,2022,811645.68,Business
61,66,2022,918508.08,Investments
62,47,2023,648746.69,Investments
63,14,2021,1475210.86,Business
64,24,2022,418987.63,Investments
65,70,2023,955185.43,Business
66,80,2021,981744.47,Salary
67,51,2021,1114619.13,Salary
68,70,2022,1322543.12,Salary
69,76,2023,460472.69,Business
70,99,2022,1082810.2,Other
71,63,2023,515422.22,Salary
72,80,2022,875762.55,Investments
73,52,2023,483104.9,Investments
74,95,2022,781790.58,Business
75,69,2022,793099.7,Salary
76,39,2021,1452743.4,Investments
77,45,2023,1355456.38,Business
78,31,2022,1387637.5,Other
79,76,2022,1114743.11,Investments
80,48,2022,546366.28,Other
81,62,2023,808890.51,Investments
82,8,2023,713255.83,Salary
83,53,2023,445834.79,Salary
84,94,2022,473546.6,Other
85,53,2022,871732.62,Investments
86,88,2022,1451218.57,Investments
87,58,2021,572536.27,Other
88,33,2023,1391869.49,Business
89,80,2023,479953.91,Other
90,6,2021,373568.48,Other
91,8,2023,591490.92,Business
92,49,2022,1178942.62,Salary
93,97,2021,1489146.67,Salary
94,53,2021,604370.37,Investments
95,93,2022,863828.94,Investments
96,45,2022,1145667.71,Investments
97,52,2021,1032495.07,Salary
98,72,2021,1458506.53,Business
99,39,2021,815656.36,Investments
100,67,2022,1161965.32,Investments
