PaymentID,TaxpayerID,PaymentDate,PaymentAmount,PaymentMethod
1,47,2023-07-09,260672.05,Credit Card
2,38,2022-09-19,221974.35,UPI
3,49,2023-05-09,261464.57,Net Banking
4,67,2023-04-02,65174.01,UPI
5,39,2023-06-08,194737.56,Credit Card
6,90,2021-12-11,165749.37,Credit Card
7,95,2024-01-09,157205.76,Net Banking
8,27,2023-02-19,112382.88,Net Banking
9,71,2022-11-13,80835.48,UPI
10,54,2024-07-06,237941.27,UPI
11,28,2022-09-29,157498.11,UPI
12,96,2024-07-08,193894.64,Debit Card
13,49,2024-01-03,262124.1,Net Banking
14,47,2024-05-12,46872.42,Net Banking
15,14,2021-11-16,160072.82,Net Banking
16,76,2023-09-19,96164.46,Debit Card
17,76,2023-03-15,206781.1,Debit Card
18,58,2024-06-23,191094.76,Net Banking
19,64,2024-08-07,249219.86,UPI
20,68,2024-02-11,205338.85,Credit Card
21,91,2024-06-06,67299.38,Credit Card
22,20,2022-07-07,283266.58,UPI
23,40,2022-10-30,128989.27,Credit Card
24,49,2022-12-11,61836.01,Net Banking
25,30,2023-05-15,244625.84,Net Banking
26,84,2023-10-25,83037.69,Debit Card
27,89,2022-07-20,290030.67,UPI
28,96,2022-08-25,213690.71,Debit Card
29,78,2024-04-23,71279.96,Net Banking
30,12,2024-03-06,145386.56,Net Banking
31,26,2023-05-09,298191.73,Credit Card
32,3,2022-02-14,6869.55,UPI
33,72,2023-12-12,277145.95,Credit Card
34,46,2023-03-02,44903.07,Credit Card
35,63,2023-07-30,125727.21,Net Banking
36,6,2024-04-15,53768.32,Debit Card
37,23,2022-02-19,288974.93,UPI
38,18,2022-01-31,174738.57,Credit Card
39,1,2023-04-29,235835.82,Debit Card
40,55,2021-10-19,239815.08,UPI
41,41,2023-02-26,5070.89,Debit Card
42,88,2023-01-29,21069.87,Debit Card
43,55,2023-02-23,51821.94,UPI
44,14,2024-02-22,207372.21,UPI
45,67,2023-02-19,257177.89,Net Banking
46,66,2023-05-17,152794.09,Debit Card
47,82,2022-01-17,76870.55,UPI
48,46,2023-03-24,32178.91,Debit Card
49,2,2021-12-02,247898.65,Credit Card
50,59,2023-01-27,95969.98,Credit Card
51,1,2022-11-09,109785.95,Debit Card
52,100,2023-04-15,27147.28,Credit Card
53,27,2022-03-12,274998.39,UPI
54,49,2024-02-23,136111.85,Debit Card
55,57,2023-02-04,60239.87,Net Banking
56,95,2024-07-26,283356.44,Net Banking
57,19,2024-02-10,161169.07,Debit Card
58,5,2022-08-27,133161.6,UPI
59,84,2022-05-02,105576.28,Credit Card
60,31,2023-12-31,51084.78,Net Banking
61,1,2023-10-11,149844.16,Credit Card
62,25,2024-03-01,96376.66,Debit Card
63,60,2024-10-10,14640.28,Net Banking
64,86,2023-01-14,251621.49,Credit Card
65,53,2023-01-25,196180.94,Debit Card
66,7,2022-05-13,74704.17,Debit Card
67,99,2023-07-18,226372.56,UPI
68,70,2022-06-19,249098.99,UPI
69,23,2023-01-09,291571.79,Credit Card
70,47,2022-05-14,223844.82,Credit Card
71,27,2024-07-30,274843.94,Debit Card
72,41,2022-04-07,251475.07,Net Banking
73,45,2024-07-26,27791.71,UPI
74,46,2024-08-23,170464.02,Debit Card
75,69,2022-12-16,27714.12,Debit Card
76,30,2021-11-18,180897.29,Debit Card
77,20,2022-12-15,223166.16,Debit Card
78,40,2023-09-26,279604.14,Net Banking
79,16,2022-10-11,71553.19,Credit Card
80,16,2023-03-10,165963.85,Debit Card
81,27,2022-12-17,156705.58,Net Banking
82,44,2024-04-27,227807.75,UPI
83,30,2022-04-11,199546.5,Net Banking
84,1,2023-09-19,132543.77,Debit Card
85,1,2022-02-06,174000.42,UPI
86,53,2024-08-10,127832.22,Credit Card
87,3,2022-03-13,247638.38,Debit Card
88,52,2022-04-26,57294.69,Net Banking
89,11,2021-12-14,159922.42,Net Banking
90,6,2024-09-14,295168.27,Net Banking
91,10,2023-08-13,258242.64,Debit Card
92,6,2022-12-27,169159.91,Debit Card
93,46,2022-11-17,289298.41,Debit Card
94,60,2022-07-18,150222.22,UPI
95,82,2024-09-26,41407.51,UPI
96,94,2023-02-15,165244.62,Debit Card
97,66,2022-12-15,15166.63,UPI
98,5,2023-01-13,84782.93,Net Banking
99,38,2021-10-21,120667.26,UPI
100,63,2023-10-28,66107.43,Net Banking
